燃情岁月,1994,8.8,269366人评价
末路狂花,1991,8.9,220606人评价
火星救援,2015,8.5,667095人评价
阿飞正传,1990,8.5,472133人评价
再次出发之纽约遇见你,2013,8.6,400720人评价
谍影重重,2002,8.6,396022人评价
千年女优,2001,8.8,236932人评价
海洋,2009,9.1,151060人评价
朗读者,2008,8.6,432378人评价
穿越时空的少女,2006,8.6,359917人评价
香水,2006,8.5,514728人评价
地球上的星星,2007,8.9,192299人评价
我爱你,2011,9.1,154858人评价
完美陌生人,2016,8.5,496178人评价
花束般的恋爱,2021,8.6,484858人评价
弱点,2009,8.7,270905人评价
哈利·波特与死亡圣器(上),2010,8.5,509376人评价
